,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,fare_amount,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
2825,2022-01-03 10:00:00,2022-01-03 10:05:43,166,41,5.5,40.80957022827245,-73.96181526438258,40.80420482862898,-73.95206533089232
2960,2022-01-03 10:52:23,2022-01-03 10:56:12,193,145,5.0,40.76172443076398,-73.94028630330514,40.74658996790376,-73.9486991918172
2962,2022-01-03 10:57:51,2022-01-03 11:04:07,52,33,6.0,40.686604541764765,-73.99692247138711,40.69623832706301,-73.99532879720404
2963,2022-01-03 10:09:54,2022-01-03 10:25:05,42,75,12.0,40.82104621409778,-73.93951646931666,40.790650159764766,-73.94495666768462
2964,2022-01-03 10:10:34,2022-01-03 10:22:02,223,263,16.5,40.778193328200736,-73.90667183004702,40.77849586877702,-73.95120799165441
2965,2022-01-03 10:38:43,2022-01-03 10:44:13,75,236,6.0,40.790650159764766,-73.94495666768462,40.78049147573493,-73.95697238530639
2966,2022-01-03 11:00:13,2022-01-03 11:04:29,52,40,5.0,40.686604541764765,-73.99692247138711,40.67850422309208,-73.99581808190938
2967,2022-01-03 10:54:09,2022-01-03 11:11:12,145,260,20.0,40.74658996790376,-73.9486991918172,40.74679779446937,-73.90371327894323
2968,2022-01-03 10:33:44,2022-01-03 11:00:58,65,227,19.5,40.69537260932962,-73.9855710635353,40.64159763701695,-74.0067945517929
2969,2022-01-03 10:14:30,2022-01-03 10:21:21,197,134,7.0,40.69300047422202,-73.8290435569064,40.70875017980766,-73.82999270305172
2971,2022-01-03 10:51:04,2022-01-03 11:03:46,42,167,10.5,40.82104621409778,-73.93951646931666,40.82798803567513,-73.90444259410572
2972,2022-01-03 10:27:15,2022-01-03 10:41:45,7,82,13.0,40.76108472915124,-73.92149056694653,40.73846392036753,-73.87234400959339
2973,2022-01-03 10:32:40,2022-01-03 10:44:17,74,151,9.5,40.80556556547766,-73.9383104968462,40.7978662680042,-73.96780839097322
2974,2022-01-03 10:55:45,2022-01-03 11:09:06,41,42,9.5,40.80420482862898,-73.95206533089232,40.82104621409778,-73.93951646931666
2975,2022-01-03 10:40:57,2022-01-03 10:47:38,74,74,6.5,40.80556556547766,-73.9383104968462,40.80556556547766,-73.9383104968462
2976,2022-01-03 10:52:45,2022-01-03 11:00:21,74,42,7.0,40.80556556547766,-73.9383104968462,40.82104621409778,-73.93951646931666
2977,2022-01-03 10:53:48,2022-01-03 11:16:07,75,148,25.5,40.790650159764766,-73.94495666768462,40.719211674204594,-73.99071836266182
2978,2022-01-03 10:57:06,2022-01-03 11:05:58,74,43,7.5,40.80556556547766,-73.9383104968462,40.782459738636334,-73.96557217995945
2979,2022-01-03 10:57:13,2022-01-03 11:04:15,75,74,6.5,40.790650159764766,-73.94495666768462,40.80556556547766,-73.9383104968462
2980,2022-01-03 10:47:06,2022-01-03 11:07:04,41,262,14.5,40.80420482862898,-73.95206533089232,40.77653422899526,-73.94582981800791
2981,2022-01-03 10:40:49,2022-01-03 10:53:11,166,42,9.5,40.80957022827245,-73.96181526438258,40.82104621409778,-73.93951646931666
2982,2022-01-03 10:24:17,2022-01-03 10:38:23,116,142,18.0,40.827535259806176,-73.94736754322265,40.77390598538879,-73.98135241373991
2983,2022-01-03 10:29:29,2022-01-03 10:33:12,152,41,5.0,40.81757720019101,-73.95432487462715,40.80420482862898,-73.95206533089232
2986,2022-01-03 10:59:42,2022-01-03 11:05:11,166,151,5.5,40.80957022827245,-73.96181526438258,40.7978662680042,-73.96780839097322
2987,2022-01-03 10:18:19,2022-01-03 10:22:07,166,151,5.0,40.80957022827245,-73.96181526438258,40.7978662680042,-73.96780839097322
2988,2022-01-03 10:32:14,2022-01-03 10:49:18,41,48,16.0,40.80420482862898,-73.95206533089232,40.76223675561455,-73.98985665083148
2990,2022-01-03 10:52:37,2022-01-03 11:04:00,74,24,9.5,40.80556556547766,-73.9383104968462,40.80203277299444,-73.96556852909367
2991,2022-01-03 10:38:58,2022-01-03 10:52:53,65,181,11.0,40.69537260932962,-73.9855710635353,40.67201914054624,-73.97904489684504
2992,2022-01-03 11:00:52,2022-01-03 11:07:37,181,181,6.5,40.67201914054624,-73.97904489684504,40.67201914054624,-73.97904489684504
2993,2022-01-03 11:05:30,2022-01-03 11:12:21,25,33,6.0,40.68561458946419,-73.98645898767127,40.69623832706301,-73.99532879720404
2998,2022-01-03 10:51:08,2022-01-03 10:59:55,264,264,7.5,,,,
2999,2022-01-03 10:13:54,2022-01-03 10:30:40,121,216,15.5,40.72734719485207,-73.79968830757159,40.677071232562525,-73.82051327052861
3000,2022-01-03 10:29:00,2022-01-03 10:56:47,41,211,29.0,40.80420482862898,-73.95206533089232,40.72389907147031,-74.00137472995819
3002,2022-01-03 10:06:44,2022-01-03 10:22:09,166,42,12.0,40.80957022827245,-73.96181526438258,40.82104621409778,-73.93951646931666
3003,2022-01-03 10:03:29,2022-01-03 10:05:56,74,74,4.0,40.80556556547766,-73.9383104968462,40.80556556547766,-73.9383104968462
3004,2022-01-03 10:10:03,2022-01-03 10:12:42,41,42,4.5,40.80420482862898,-73.95206533089232,40.82104621409778,-73.93951646931666
3005,2022-01-03 10:41:35,2022-01-03 10:46:10,41,74,5.5,40.80420482862898,-73.95206533089232,40.80556556547766,-73.9383104968462
3007,2022-01-03 10:15:52,2022-01-03 10:20:00,7,7,4.5,40.76108472915124,-73.92149056694653,40.76108472915124,-73.92149056694653
3010,2022-01-03 10:32:49,2022-01-03 10:49:31,74,238,13.0,40.80556556547766,-73.9383104968462,40.79176624678264,-73.97281451745027
3011,2022-01-03 10:06:17,2022-01-03 10:16:02,41,116,8.5,40.80420482862898,-73.95206533089232,40.827535259806176,-73.94736754322265
3012,2022-01-03 10:48:37,2022-01-03 11:02:51,41,142,12.0,40.80420482862898,-73.95206533089232,40.77390598538879,-73.98135241373991
3013,2022-01-03 10:34:40,2022-01-03 10:58:38,74,143,19.0,40.80556556547766,-73.9383104968462,40.775770209571455,-73.98797296641823
3014,2022-01-03 10:34:50,2022-01-03 10:48:59,134,216,11.0,40.70875017980766,-73.82999270305172,40.677071232562525,-73.82051327052861
3015,2022-01-03 10:12:57,2022-01-03 10:20:55,41,74,7.0,40.80420482862898,-73.95206533089232,40.80556556547766,-73.9383104968462
3016,2022-01-03 10:25:28,2022-01-03 10:29:43,74,41,5.0,40.80556556547766,-73.9383104968462,40.80420482862898,-73.95206533089232
3017,2022-01-03 10:38:20,2022-01-03 10:44:48,74,42,6.5,40.80556556547766,-73.9383104968462,40.82104621409778,-73.93951646931666
3018,2022-01-03 10:56:06,2022-01-03 11:05:25,41,236,8.0,40.80420482862898,-73.95206533089232,40.78049147573493,-73.95697238530639
3020,2022-01-03 10:12:00,2022-01-03 10:20:50,75,74,8.5,40.790650159764766,-73.94495666768462,40.80556556547766,-73.9383104968462
3021,2022-01-03 10:51:41,2022-01-03 10:59:05,74,42,6.5,40.80556556547766,-73.9383104968462,40.82104621409778,-73.93951646931666
3022,2022-01-03 10:53:00,2022-01-03 11:01:44,41,75,9.5,40.80420482862898,-73.95206533089232,40.790650159764766,-73.94495666768462
3023,2022-01-03 10:16:18,2022-01-03 10:24:29,55,21,8.5,40.57689961985431,-73.99047413955634,40.60204898400991,-73.98130072597276
3025,2022-01-03 10:53:25,2022-01-03 11:20:36,181,26,19.5,40.67201914054624,-73.97904489684504,40.62861224058607,-73.98956040655276
3026,2022-01-03 10:58:45,2022-01-03 11:03:45,83,83,5.0,40.74014560317754,-73.88922182947495,40.74014560317754,-73.88922182947495
3028,2022-01-03 10:13:19,2022-01-03 10:15:31,75,75,4.0,40.790650159764766,-73.94495666768462,40.790650159764766,-73.94495666768462
3030,2022-01-03 10:50:48,2022-01-03 11:12:11,82,138,16.0,40.73846392036753,-73.87234400959339,40.77486738951802,-73.8728037146871
3031,2022-01-03 10:10:00,2022-01-03 10:24:22,7,237,13.0,40.76108472915124,-73.92149056694653,40.76854188466485,-73.96569149194592
3032,2022-01-03 10:00:28,2022-01-03 10:11:52,41,151,10.0,40.80420482862898,-73.95206533089232,40.7978662680042,-73.96780839097322
3033,2022-01-03 10:33:01,2022-01-03 10:45:47,74,263,10.5,40.80556556547766,-73.9383104968462,40.77849586877702,-73.95120799165441
3034,2022-01-03 10:33:46,2022-01-03 10:38:55,43,263,5.0,40.782459738636334,-73.96557217995945,40.77849586877702,-73.95120799165441
3035,2022-01-03 10:55:55,2022-01-03 11:09:33,43,166,11.0,40.782459738636334,-73.96557217995945,40.80957022827245,-73.96181526438258
3036,2022-01-03 10:05:08,2022-01-03 10:18:17,41,163,12.5,40.80420482862898,-73.95206533089232,40.76442545340527,-73.97836698802045
3037,2022-01-03 10:36:47,2022-01-03 10:40:40,41,24,5.0,40.80420482862898,-73.95206533089232,40.80203277299444,-73.96556852909367
3038,2022-01-03 10:25:31,2022-01-03 10:31:40,43,151,6.5,40.782459738636334,-73.96557217995945,40.7978662680042,-73.96780839097322
3039,2022-01-03 10:36:27,2022-01-03 10:45:09,42,127,13.0,40.82104621409778,-73.93951646931666,40.86506268329175,-73.92032547185646
3040,2022-01-03 10:58:01,2022-01-03 11:13:41,244,48,23.0,40.84121866986656,-73.94166681405747,40.76223675561455,-73.98985665083148
3042,2022-01-03 10:13:02,2022-01-03 10:16:06,69,47,4.0,40.830607677614125,-73.91536622023362,40.84575494537198,-73.8969291492323
3043,2022-01-03 10:06:40,2022-01-03 10:13:30,74,74,6.5,40.80556556547766,-73.9383104968462,40.80556556547766,-73.9383104968462
3045,2022-01-03 10:40:12,2022-01-03 10:48:47,75,262,7.5,40.790650159764766,-73.94495666768462,40.77653422899526,-73.94582981800791
3046,2022-01-03 11:01:08,2022-01-03 11:05:01,75,41,5.5,40.790650159764766,-73.94495666768462,40.80420482862898,-73.95206533089232
3047,2022-01-03 10:14:53,2022-01-03 10:22:41,65,97,7.0,40.69537260932962,-73.9855710635353,40.690615655694266,-73.975576580035
3048,2022-01-03 11:09:38,2022-01-03 11:21:00,65,34,9.0,40.69537260932962,-73.9855710635353,40.70255903810309,-73.9676989686791
3049,2022-01-03 10:09:21,2022-01-03 10:13:29,52,33,4.5,40.686604541764765,-73.99692247138711,40.69623832706301,-73.99532879720404
3050,2022-01-03 10:44:14,2022-01-03 10:57:02,33,189,10.0,40.69623832706301,-73.99532879720404,40.677182486623884,-73.96826963212501
3051,2022-01-03 10:14:32,2022-01-03 10:56:51,129,82,0.0,40.75905747396381,-73.8874063794919,40.73846392036753,-73.87234400959339
3052,2022-01-03 10:37:26,2022-01-03 10:53:02,52,181,12.0,40.686604541764765,-73.99692247138711,40.67201914054624,-73.97904489684504
3053,2022-01-03 10:01:51,2022-01-03 10:11:16,42,151,8.5,40.82104621409778,-73.93951646931666,40.7978662680042,-73.96780839097322
3054,2022-01-03 10:21:55,2022-01-03 10:46:34,166,237,18.5,40.80957022827245,-73.96181526438258,40.76854188466485,-73.96569149194592
3055,2022-01-03 10:13:39,2022-01-03 10:20:29,236,237,8.0,40.78049147573493,-73.95697238530639,40.76854188466485,-73.96569149194592
3056,2022-01-03 10:19:25,2022-01-03 10:26:53,65,49,6.5,40.69537260932962,-73.9855710635353,40.68851587525063,-73.96493373164775
3057,2022-01-03 10:08:04,2022-01-03 10:15:28,263,41,7.5,40.77849586877702,-73.95120799165441,40.80420482862898,-73.95206533089232
3058,2022-01-03 10:15:11,2022-01-03 10:25:51,65,49,9.0,40.69537260932962,-73.9855710635353,40.68851587525063,-73.96493373164775
3059,2022-01-03 10:54:06,2022-01-03 11:03:12,65,195,8.5,40.69537260932962,-73.9855710635353,40.67546168386208,-74.00954931328396
3060,2022-01-03 10:13:52,2022-01-03 10:24:01,52,106,8.5,40.686604541764765,-73.99692247138711,40.67336116761727,-73.99176357560636
3061,2022-01-03 10:32:07,2022-01-03 10:40:06,40,33,7.0,40.67850422309208,-73.99581808190938,40.69623832706301,-73.99532879720404
3062,2022-01-03 10:31:14,2022-01-03 10:36:31,74,41,5.0,40.80556556547766,-73.9383104968462,40.80420482862898,-73.95206533089232
3063,2022-01-03 10:17:34,2022-01-03 10:25:38,43,236,7.5,40.782459738636334,-73.96557217995945,40.78049147573493,-73.95697238530639
3064,2022-01-03 10:31:29,2022-01-03 10:46:30,74,247,12.0,40.80556556547766,-73.9383104968462,40.8292114745074,-73.92505918269573
3065,2022-01-03 11:05:05,2022-01-03 11:10:01,74,75,5.5,40.80556556547766,-73.9383104968462,40.790650159764766,-73.94495666768462
3067,2022-01-03 10:20:02,2022-01-03 10:25:18,74,41,5.5,40.80556556547766,-73.9383104968462,40.80420482862898,-73.95206533089232
3068,2022-01-03 10:25:32,2022-01-03 10:34:16,166,239,9.0,40.80957022827245,-73.96181526438258,40.784107364553954,-73.97827334184862
3070,2022-01-03 10:28:31,2022-01-03 10:44:42,42,248,18.0,40.82104621409778,-73.93951646931666,40.83467719993098,-73.8710104534108
3071,2022-01-03 10:31:00,2022-01-03 10:59:39,75,68,26.5,40.790650159764766,-73.94495666768462,40.74839722483199,-73.99994015650746
3072,2022-01-03 10:47:36,2022-01-03 11:02:09,95,173,15.5,40.72346527235991,-73.84821993627048,40.75177924392136,-73.86308370078238
3073,2022-01-03 10:50:32,2022-01-03 11:11:20,166,237,15.5,40.80957022827245,-73.96181526438258,40.76854188466485,-73.96569149194592
3074,2022-01-03 10:55:44,2022-01-03 11:07:15,97,17,9.5,40.690615655694266,-73.975576580035,40.69199409627496,-73.94918130103822
3076,2022-01-03 10:31:01,2022-01-03 10:37:24,74,43,7.0,40.80556556547766,-73.9383104968462,40.782459738636334,-73.96557217995945
3077,2022-01-03 10:38:41,2022-01-03 10:48:54,43,236,8.5,40.782459738636334,-73.96557217995945,40.78049147573493,-73.95697238530639
3078,2022-01-03 10:07:26,2022-01-03 10:19:48,74,166,9.0,40.80556556547766,-73.9383104968462,40.80957022827245,-73.96181526438258
3079,2022-01-03 10:10:47,2022-01-03 10:29:31,41,170,20.5,40.80420482862898,-73.95206533089232,40.74765428110328,-73.97694199243557
3080,2022-01-03 10:46:30,2022-01-03 10:56:16,75,238,8.5,40.790650159764766,-73.94495666768462,40.79176624678264,-73.97281451745027
3082,2022-01-03 10:28:35,2022-01-03 10:34:34,55,55,6.0,40.57689961985431,-73.99047413955634,40.57689961985431,-73.99047413955634
3083,2022-01-03 10:23:02,2022-01-03 10:31:02,42,152,7.0,40.82104621409778,-73.93951646931666,40.81757720019101,-73.95432487462715
3084,2022-01-03 10:48:21,2022-01-03 11:03:20,74,244,12.0,40.80556556547766,-73.9383104968462,40.84121866986656,-73.94166681405747
